id,name,unique_name,ipl_debut,specialization,date_of_birth,matches,nationality
b55fb828,BMSM Kumari,BMSM Kumari,,,,,
48ad3373,BM Tickner,BM Tickner,,,,,
449f4e3c,B Muzarabani,B Muzarabani,,,,,
397f4d3a,BM Wheeler,BM Wheeler,,,,,
634a7b21,BN Cooper,BN Cooper,,,,,
d9d97a85,BNL Charles,BNL Charles,,,,,
a37b5c0a,BO Coad,BO Coad,,,,,
1d048deb,BOP Fernando,BOP Fernando,,,,,
ed70ac05,BP Kruger,BP Kruger,,,,,
dd55b0b0,,BP Loots,,,,,
a02a6cb1,BP Martin,BP Martin,,,,,
272d796e,Ben Dunk,BR Dunk,2014,Wicketkeeper Batter,11 March 1987,3,Australian
98d05440,B Regmi,B Regmi,,,,,
c41043e6,BR McDermott,BR McDermott,,,,,
53597be1,Brendan Taylor,BRM Taylor,,N/A,06 February 1986,0,Zimbabwean
bd8689b0,,BS Fulmali,,,,,
17967cc0,B Sly,B Sly,,,,,
15e2985c,BS Mudzinganyama,BS Mudzinganyama,,,,,
6834d1f2,Billy Stanlake,B Stanlake,2017,Bowler,04 November 1994,6,Australian
fd770945,BT Foakes,BT Foakes,,,,,
37137c8b,BV Vitori,BV Vitori,,,,,
f3171936,Ben Hilfenhaus,BW Hilfenhaus,2012,Bowler,15 March 1983,17,Australian
ed12fcd7,BWM Mike,BWM Mike,,,,,
e871a7a1,BW Sanderson,BW Sanderson,,,,,
a9fabff4,BYA Mendis,BYA Mendis,,,,,
d953ed6a,B Zuiderent,B Zuiderent,,,,,
75820733,CA Henry,CA Henry,,,,,
c995d726,Colin Ingram,CA Ingram,,Batter,03 July 1985,15,South African
5db1c288,CAJ Morris,CAJ Morris,,,,,
8012d0b8,CAK Rajitha,CAK Rajitha,,,,,
bbff906c,,CAK Walton,,,,,
5a42a396,Callum Taylor,Callum Taylor,,,,,
45eda7c8,Chris Lynn,CA Lynn,2012,Batter,10 April 1990,42,Australian
d4f9dbd4,Cheteshwar Pujara,CA Pujara,2010,Batter,25 January 1988,30,Indian
9920dd86,,CA Soper,,,,,
bd0a4a7d,CA Young,CA Young,,,,,
6755cd5c,CB Cooke,CB Cooke,,,,,
49691d7a,CB Mpofu,CB Mpofu,,,,,
